建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
育嘉京品,桃園市大園區高鐵南路一段111號,30.5,15,19,1.109021758132421,0.3396923016417557,154.0
桂冠國際花園,桃園市大園區興德路10號,30.7,14,23,2.163383409925784,0.5830234322547884,99.0
達和天墅,桃園市大園區華興路一段29號,21.5,8,27,0.698191291037681,0.7435579144882248,53.0
太硯典藏,桃園市大園區中正東路二段682巷1號,19.3,11,22,5.722935484195376,0.3350075902298007,24.0
壹等賞,桃園市大園區致維街20號,22.3,14,17,0.8074186118922482,0.3045402189887603,94.0
臻品,桃園市大園區中正三街19號,32.5,1,25,0.5188981622440845,0.2734652610880917,79.0
松合苑,桃園市大園區園五街50巷1號,25.7,4,29,1.303172959499264,0.8112751213581684,9.0
璽堡,桃園市大園區高鐵北路二段98號,30.0,9,22,5.445058647300095,0.26647136689367,109.0
幸福莊園一期,桃園市大園區中正東路三段116巷96號,16.7,11,21,5.786880233802772,0.6039458085914228,33.0
興禾NO2-荷蘭學,桃園市大園區科三街32號,24.9,4,32,0.5880464492689368,0.3010091742744599,9.0
快樂成家,桃園市大園區民安路167巷1號,14.3,15,25,0.6671972695243269,0.6098097088918067,68.0
松合苑NO2,桃園市大園區學三街70巷2號,22.5,1,30,0.8241940312502333,0.4299690785454604,4.0
萊茵城堡,桃園市大園區領航北路四段135巷50號,29.6,15,23,4.728478785281191,0.56217915604152,55.0
沐光馥,桃園市大園區園六街112號,24.6,1,31,1.4263551428004475,0.809139367761161,8.0
禾豐墅,桃園市大園區學五街16巷1號,21.6,2,30,0.8211844226798736,0.5548231894074653,5.0
和風麗都,桃園市大園區青昇二街66號,28.6,13,21,2.440815564282566,0.3211340083251878,112.0
漢豐成田,桃園市大園區圳頭路101巷112弄69號之1,14.0,7,27,1.9137679485628696,0.8809178645378208,3.0
亞瑟王,桃園市大園區致維街35號,24.1,12,17,0.7969456538592106,0.322894280051237,85.0
三鶯澤苑,桃園市大園區福德路178巷30弄1號,21.8,4,32,1.992387191593208,0.303195348808972,27.0
築園,桃園市大園區環區西路167號,18.6,4,31,0.4479007614333827,0.3670674078289002,5.0
上品硯,桃園市大園區致善路二段188號,21.7,12,21,1.208856020506781,0.4468937439342991,155.0
綠院子,桃園市大園區溪海路808巷32弄1號,19.6,2,24,2.931036559589125,1.7709899777491944,0.0
冠昱金寳,桃園市大園區學十街61號,19.7,2,30,1.2858716144410631,0.9339995230606803,1.0
普羅旺斯5期,桃園市大園區華興路149號,20.6,6,29,0.2118749784024785,0.2197196996619417,73.0
日勝陽光3,桃園市大園區崙后路670號,23.6,5,25,2.376055459006432,0.8759284521935412,1.0
日勝淘寶3-透天,桃園市大園區自立二街22號,22.6,3,29,1.5345749207237802,0.9012526290660466,9.0
隆金鑽,桃園市大園區華興路一段8號,19.8,7,27,0.6975711793860357,0.7389730359520523,51.0
幸福家園NO.6,桃園市大園區中華路139巷1弄33號,16.6,6,26,0.2902608044729732,0.613356418322804,61.0
翰林首馥,桃園市大園區環區西路441號,27.8,3,30,1.0098737824621349,0.7607957876503271,4.0
大清逸境,桃園市大園區華興路二段478巷63號,17.6,3,22,3.146547550942182,1.916116456919228,1.0
興禾見築,桃園市大園區環區西路29號,20.2,8,31,0.2525028897655526,0.6001705223801732,9.0
石上青泉,桃園市大園區青昇路一段132巷158號,20.4,16,20,2.3475073419953296,1.1328671885576214,34.0
珍愛大園,桃園市大園區中山南路120巷6號,9.0,17,28,0.0472893807708724,0.46544089429131,76.0
君悅美墅,桃園市大園區永園路二段183巷93號,17.8,17,23,2.159900809046026,0.8368784695900553,93.0
青埔傳家堡,桃園市大園區致祥一街56號,28.3,16,18,0.972414604354756,0.2509444401479899,154.0
狀元第二期,桃園市大園區華興路113號,21.6,5,29,0.1899704237342982,0.138798845808955,74.0
澄園,桃園市大園區青昇路一段91巷85弄1號,17.3,8,21,5.910337500873658,0.7090597779599379,38.0
和風麗緻,桃園市大園區中正東路三段52巷3號,20.7,8,21,5.8158790584191244,0.4460013396021277,26.0
富田三期,桃園市大園區新生北路36號,23.1,7,27,0.10926398135899,0.8267120517761481,68.0
水與樹,桃園市大園區環區東路372號之7,15.7,10,28,1.4365259192242872,0.7199219593726945,2.0
新尊邸90,桃園市大園區園五街22號,13.5,17,29,1.2652160086449016,0.7542139768790126,9.0
青埔花墅,桃園市大園區中山南路二段165巷10號,16.8,23,25,3.731664731462747,1.4921801757206872,3.0
和風勳章,桃園市大園區五青路382巷26號,17.8,9,22,5.726526229726402,0.3304565290956112,24.0
和平心墅,桃園市大園區和平西路一段351號,18.6,6,26,1.8181615007078515,0.1571081942673229,2.0
航空藝術家,桃園市大園區文興街20巷1號,11.2,16,29,1.262750490330764,0.4842659829444559,3.0
德融首璽,桃園市大園區環區東路388號,16.0,13,28,1.4718300667518067,0.7711630697523453,2.0
德融首璽二期,桃園市大園區環區東路392號,20.5,11,28,1.4780967021883993,0.7857818057747121,2.0
豐綵,桃園市大園區五青路382巷116號,22.7,3,22,5.713976490749356,0.3412211293592845,24.0
高鮮墅,桃園市大園區中正東路二段511巷20弄7號,15.9,21,22,5.493354515080537,0.1753511748230418,10.0
吉富捷靜Ⅲ紳富逸居,桃園市大園區五福路150巷1號,24.6,3,21,5.791333694457668,0.6919850720132414,33.0
大園美墅家,桃園市大園區埔心村海豐坡10號之90,12.8,17,25,2.8963621824571493,0.678437835593793,6.0
御品皇家,桃園市大園區華興路一段46號,13.2,21,27,0.7755232751357858,0.7781929423316888,46.0
達和森園,桃園市大園區和平西路152號,18.1,12,28,0.5820098175791811,0.6532542328065865,60.0
哲園,桃園市大園區五福路63號,16.2,8,20,5.907285185869362,0.8491895489679407,31.0
美麗花墅,桃園市大園區平安路145巷1弄1號,18.4,24,25,0.976221574252509,0.6187540314747871,47.0
