建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
大溪雲莊,桃園市大溪區勝利街97巷11號,7.6,26,32,1.3097576116383576,0.4532219566213427,25.0
森巴黎3期,桃園市大溪區內柵路二段100號,19.1,8,34,3.293085739604093,0.3104258540065987,4.0
放翁清境,桃園市大溪區士香街17號,16.8,18,21,1.0526250094410023,0.154227265137951,29.0
澄園,桃園市大溪區仁德六街175號,23.3,17,23,0.9247897040347746,0.3279423086054721,40.0
万田首席,桃園市大溪區埔頂六街165號,24.9,3,23,0.4329729596665135,0.4150249776776489,60.0
花園城堡,桃園市大溪區信義路82號,10.1,24,29,0.4176162775327396,0.4595814470880457,61.0
迴香,桃園市大溪區埔頂路一段357巷928弄3號,23.4,3,24,4.560186496743731,1.2023812781881709,2.0
兆豐大溪,桃園市大溪區信義路835巷1號,12.5,15,32,2.6720172211157807,1.830667890237148,9.0
喜悅閣,桃園市大溪區石園路502號,18.4,2,24,2.513801840342148,0.6098525347432834,2.0
緣溪行-透天區,桃園市大溪區興昌路二段88號之1,20.3,1,18,3.1272207933678544,1.1772994916467738,6.0
閱讀翡冷翠6-嵐莊,桃園市大溪區內柵路一段42號,14.9,7,33,2.6993420814225937,0.3981529266308163,3.0
第五大道,桃園市大溪區介壽路718號,13.4,45,24,0.9078335714803872,0.7156549411951229,53.0
淺草別墅,桃園市大溪區勝利街3巷1號,11.6,18,32,1.0110995504344722,0.6785933279738376,39.0
太子美墅D區,桃園市大溪區員林路一段225號,19.9,17,21,0.9119556128224556,0.2718977853899152,42.0
采舍III,桃園市大溪區員東路485巷188號,11.3,2,20,1.9232565654756693,1.3362767089333871,2.0
金璽,桃園市大溪區埔頂路二段470巷8號,19.4,3,24,4.281353163669537,1.1177255700531408,22.0
一方苑,桃園市大溪區三元一街24巷1號,18.8,5,23,2.4293992217049385,0.3593820726852552,21.0
慶賀天擎-透天區,桃園市大溪區員林路二段230巷20弄2號之1,17.5,3,21,2.5477866573037184,0.4722923464573664,21.0
吉品麗苑NO.5,桃園市大溪區埔仁路711號,19.3,5,26,1.257135445142036,0.6817771708762782,36.0
吾亟II,桃園市大溪區仁德六街143巷50號,22.5,6,24,0.969851961531363,0.3822472561574818,40.0
隱玥６京漾紅,桃園市大溪區仁和路二段517巷95弄11號,17.5,7,22,3.970817444033805,1.030340439398617,10.0
富都臻品NO.3,桃園市大溪區華興街48號,29.6,6,24,1.0872253346634695,0.8918769795729581,42.0
傳家大苑-透天住家,桃園市大溪區隆德街48巷23號,28.8,4,21,0.4061386126146008,0.3622311864871927,48.0
万田首席七期,桃園市大溪區埔仁路392號,26.6,7,23,0.4860710398098207,0.4944151534008487,62.0
三本觀宇,桃園市大溪區仁德二街215號,16.7,12,24,0.9386834036029283,0.3662930321636716,40.0
名門阜邑5,桃園市大溪區仁德街22號,24.6,1,12,0.7778347279058481,0.212030951649201,27.0
蘭亭序,桃園市大溪區仁德十街70號,23.3,5,25,1.206545533029996,0.63447943408886,37.0
璽苑2,桃園市大溪區公園三街193號,20.3,5,22,0.3370267525301499,0.4408693847705253,68.0
厚陞極,桃園市大溪區信義路102巷51號,17.4,4,30,0.2744170182100084,0.3631979146227427,61.0
磐蒔苑,桃園市大溪區公園三街159號,21.7,8,23,0.3376896675587967,0.5107539623693722,68.0
傳家寶26,桃園市大溪區仁和路二段429號,18.9,3,19,4.158861122051184,0.9409717132617148,11.0
大琳布拉格,桃園市大溪區仁和路一段16巷109號,19.4,4,22,0.3718753517254597,0.4346652122104876,66.0
山河戀,桃園市大溪區勝利街211號之3,16.3,14,31,1.6328986873782034,0.3984418328169955,2.0
我居NO.3,桃園市大溪區仁和路一段16巷91號,19.2,6,22,0.3657118414926746,0.3937121546285066,62.0
御墅林鋒,桃園市大溪區勝利街8號,18.5,6,32,0.9875916830867292,0.7088035025689544,39.0
新點樂章2,桃園市大溪區慈光一街29巷1號,20.7,12,24,0.6421404051437231,0.6660728837099829,63.0
大溪新故鄉,桃園市大溪區中華路127巷18號,10.1,23,31,0.2638086468819283,0.2766205307010063,48.0
