建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
三河院,桃園市平鎮區三和路59巷1號,21.7,8,16,3.655923782524469,0.9269873103568256,16.0
御大院,桃園市平鎮區延平路三段314巷11弄12號,20.9,6,13,1.2983450949888895,0.898975381924447,25.0
御品苑,桃園市平鎮區廣泰路210巷38號,24.5,6,12,0.4708073646591407,1.1658947443976844,91.0
太硯典藏 no6,桃園市平鎮區賦梅路680巷1號,21.4,4,15,1.6864636991222344,1.373664364180036,6.0
環泥大名邸,桃園市平鎮區坤慶二街52巷1號,19.8,4,19,2.848821074789467,0.6785589515628854,36.0
馥御墅,桃園市平鎮區南平路49巷7號,23.9,7,14,3.091468875334082,0.6343904167003392,66.0
鎂嘉 ‧ 美家,桃園市平鎮區明德路25號,20.5,2,15,2.577988827125516,0.7709017261090612,25.0
日勝新天地NO.7,桃園市平鎮區南華街398巷28弄41號,22.9,1,15,3.630810717299045,0.5127631032383034,58.0
荷硯NO.3,桃園市平鎮區陸橋南路19巷2弄26號,19.8,2,15,2.8610333679277367,0.5728378729024728,77.0
深耕12期,桃園市平鎮區中豐路510巷10號,22.9,3,11,1.5793362164246911,0.6283873124029978,41.0
鉑金閱第二期,桃園市平鎮區工業一路2號之10,20.6,10,21,2.707151881995161,0.8033770617894324,34.0
築水曲,桃園市平鎮區復旦路四段116巷188號之1,22.9,1,15,1.3605736619648487,0.6051436779671991,6.0
閱讀翡冷翠8,桃園市平鎮區平東路492巷158弄21號,15.8,2,18,3.3850159652602803,0.674092225049372,27.0
立虹敦皇二期,桃園市平鎮區上海路7號,21.2,8,18,3.561657865958759,0.4629156438767506,60.0
寬庭No.3,桃園市平鎮區迪化街53號,23.0,6,16,3.1892978496484865,0.8021362938768014,65.0
龍岡別墅,桃園市平鎮區建明路15巷16號,16.5,8,16,2.623500356787195,0.6948774200747654,25.0
臻御墅,桃園市平鎮區振興西路155巷92號,25.8,7,7,0.5293517231446463,0.2700817956602335,126.0
心有墅,桃園市平鎮區新光路四段45巷76弄2號,19.7,5,16,3.2488135250196684,0.6677906268462709,64.0
松林賦邑,桃園市平鎮區復旦路三段111巷42弄85號,28.2,9,13,0.971681305217767,0.694242543015162,43.0
福龍藝墅,桃園市平鎮區福龍路一段752巷88弄1號,19.4,3,17,1.9911285276778687,1.1537131248125914,6.0
靜園,桃園市平鎮區南華街179巷15號,18.3,11,15,3.363632564140496,0.5289750421188878,61.0
海川蘊三期,桃園市平鎮區育達路106巷2號,28.1,3,8,0.2610125476459923,0.179679313219699,203.0
富御,桃園市平鎮區南華街398巷67弄7號,16.6,5,15,3.535865995980214,0.6699824875057373,46.0
金陵學墅,桃園市平鎮區金雞湖路16巷1號,15.4,6,15,2.5475885218535974,1.231231959560133,7.0
佶祐豐墅,桃園市平鎮區中豐路南勢二段75巷5弄11號,23.3,3,14,3.209225857940168,0.5491048339039509,67.0
儷穎耕築,桃園市平鎮區延平路三段640巷151弄6號,21.7,7,14,1.881269501327863,1.4712982139728428,6.0
哲園五期,桃園市平鎮區上海路120巷67號,18.9,7,16,3.813199179746527,0.2510318775607141,63.0
富貴世家,桃園市平鎮區南平路98巷12弄22號,19.6,4,14,3.03407027103569,0.7100139313502352,65.0
墨硯居,桃園市平鎮區復旦路二段131巷14弄72號,24.1,6,12,0.30467304277289,0.21050167651109,115.0
印象,桃園市平鎮區復旦路二段23巷15號,20.7,7,10,0.0449951941264473,0.24631445342856,131.0
森巴黎2期,桃園市平鎮區開封街167號,19.6,8,17,3.827033420305388,0.7130287400779629,59.0
吉棒,桃園市平鎮區金陵路四段26巷73號,17.0,6,15,3.545338105019335,1.1701610167318932,22.0
頂好新都二期,桃園市平鎮區頂好街24巷6號,12.1,8,23,2.2970936119925134,0.3447872420251047,16.0
千代賞,桃園市平鎮區漢口街170巷15弄1號,14.6,12,18,3.774730410464423,0.623200874379443,56.0
澄玥,桃園市平鎮區南京路111巷6號,22.8,8,15,3.4327851142503105,0.3800742004921218,66.0
龍安富邑,桃園市平鎮區龍安路131號,17.0,7,18,3.088186933907865,0.1805578917839775,33.0
侒泰首馥,桃園市平鎮區工業東路78號,16.1,8,23,2.120239038221125,0.131709046722402,17.0
寶台傳家寶,桃園市平鎮區大興街85號,21.7,9,16,3.724732862858431,0.1814830485275149,63.0
吉富美墅,桃園市平鎮區陸橋南路15號,11.1,12,14,2.773619393312739,0.6432481051489484,40.0
臻品,桃園市平鎮區中豐路南勢二段75巷5弄58號,20.0,8,14,3.1706267518235007,0.5923980913998157,66.0
紫藤園,桃園市平鎮區陸橋南路19巷5弄18號,14.5,12,15,2.7969922610208364,0.6582035237356252,49.0
金陶璽,桃園市平鎮區三興路東勢段202號,16.4,12,15,3.62370802532681,0.7766701698275207,16.0
