建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
傳家寶23,桃園市新屋區校前路93號,25.2,5,22,3.52250100295782,0.1016164629950372,3.0
大清雄讚,桃園市新屋區中華路885巷13號,16.7,4,26,1.752214879515738,0.5603683716876544,4.0
碧湖大院,桃園市新屋區清華路1600巷27號,17.0,3,24,1.7529683728128402,0.5931136901741549,3.0
典藏首御,桃園市新屋區新榮路226號,20.8,8,21,4.460633422705291,1.5349523558973863,36.0
玉禾院2,桃園市新屋區中山西路二段233號,19.8,8,30,3.605462766656108,1.2464567491647651,0.0
桃淵明,桃園市新屋區民有一路910號,15.6,2,33,4.640116864626239,1.002442831610828,0.0
新屋美墅C區,桃園市新屋區四維街102號,17.1,10,27,0.7067505148601879,0.1715520588663444,28.0
悅農莊,桃園市新屋區金橋路132巷1號,16.3,3,27,4.6121187467452005,0.4325504699468874,2.0
富貴林園,桃園市新屋區永田路26巷2號,17.0,1,33,6.455000288287655,0.0838210721157898,2.0
傳家寶25,桃園市新屋區校前一街101巷2號,21.1,4,22,3.6026079022217905,0.109648936297383,3.0
峰墅2,桃園市新屋區中山東路二段859巷3號,22.0,4,22,4.19688799554546,0.6406896085173481,9.0
荷豐大墅二期,桃園市新屋區興芝路372巷1號,10.8,6,30,2.7201590482897835,0.4109444016403735,1.0
荷豐大墅,桃園市新屋區大智路48號,13.2,8,12,0.1549734984095858,0.1026286465193036,0.0
The villa,桃園市新屋區國校路8巷35弄2號,16.1,2,31,4.2100039891961085,1.851561592073836,0.0
美墅苑,桃園市新屋區長祥路700巷75號,13.2,2,24,2.357601223100614,0.9882189630641188,3.0
青庭院,桃園市新屋區福洲一街150號,21.8,3,22,4.10457642600812,0.5596216824204341,9.0
長松傳埕,桃園市新屋區中興路310巷539弄2號,14.9,4,26,0.9207477369702994,0.5239514195797085,17.0
駿騰大悅,桃園市新屋區復興街75號,18.7,4,26,0.3615162343778458,0.2011506629954813,27.0
成裕大囍NO.1,桃園市新屋區三民路255巷65弄2號,18.3,2,25,0.3757321416494252,0.5606232063753415,27.0
大悅清華,桃園市新屋區清華路1420巷90弄95號,14.3,6,25,1.9334999225638585,0.7412830253756048,3.0
谷都臻美,桃園市新屋區中山西路二段1076號,15.4,2,34,5.779836034125762,0.6289075252857083,2.0
山豐青田,桃園市新屋區中山西路二段800巷33號,15.8,3,32,5.052246956645104,1.356846511937453,0.0
靚香榭,桃園市新屋區中興北路101號,19.4,3,27,0.7731238009830202,0.259617315187895,28.0
豐禾居,桃園市新屋區寶樹路482巷41號,17.0,3,27,2.8897270020648014,1.890091727230703,1.0
寶清 藝墅,桃園市新屋區中山路455號,24.0,3,26,0.8567001883790658,0.2481910822004358,27.0
峰港馨墅,桃園市新屋區忠孝街41巷48號,24.4,2,26,0.4279779638641973,0.2405115933300607,26.0
中戶清水悅NO.1,桃園市新屋區三民路732號,25.6,1,27,1.0506664433353088,0.3877161507806623,25.0
新屋美墅A區,桃園市新屋區信義街25號,17.8,10,27,0.7350550093907113,0.2299164067022347,27.0
家一景,桃園市新屋區校前一街82巷6號,15.2,9,22,3.684049840029704,0.0866595593662,5.0
荷蘊 展,桃園市新屋區校前一街3號,20.2,3,22,3.75407613149575,0.1540884278934924,5.0
樂活墅 紳騰NO.3,桃園市新屋區五谷路435號,13.9,5,31,4.2100039891961085,1.851561592073836,0.0
峰墅,桃園市新屋區新洲三街27號,16.3,6,21,4.138376181330912,0.5194262459854152,9.0
萬鎮別莊,桃園市新屋區中山東路一段188號,10.3,20,22,1.065528841854039,0.6784265873963536,4.0
康莊大院,桃園市新屋區校前一街23巷1號,13.9,9,22,3.7524506311632098,0.1507414085251179,5.0
富利雅居,桃園市新屋區中華南路一段138巷60弄6號,13.9,9,26,0.6567567843949994,0.8839247432738455,13.0
桂林花園,桃園市新屋區中華路572巷65弄19號,10.8,18,25,1.0706001472942526,0.2173561002958532,26.0
青雲翫C區,桃園市新屋區高洲六街66號,14.8,9,20,4.6534825727433695,1.6175865290327311,35.0
星田六院邸,桃園市新屋區新生一街98號,26.2,3,26,0.5435152621529591,0.2883474055492535,28.0
成盛清淞七期,桃園市新屋區新洲東路40巷1號,13.8,9,21,5.082348629663389,0.6540110530447657,9.0
龍威別墅五期,桃園市新屋區中正一街115號,13.3,18,26,0.6995011221311412,0.4079359282758678,29.0
清淞貳期,桃園市新屋區新洲五街103巷1號,16.8,11,20,3.9173452688988473,0.2996717654783113,5.0
臻藏  傳家寶系列,桃園市新屋區新洲三街66號,13.8,10,21,4.076047484235315,0.4571898170303734,8.0
墨硯居3,桃園市新屋區新福二路22號,29.4,1,25,0.0677387340230728,0.4964106359761077,27.0
大碁一品居,桃園市新屋區三民路488巷1號,22.8,5,29,0.7525847080525815,0.2010246140177184,27.0
青雲翫A區,桃園市新屋區高洲二街33號,15.8,9,22,4.629019071300176,1.595445721733541,35.0
禮城邦,桃園市新屋區福洲路53巷1號,15.8,12,22,4.006147054925518,0.4657030537440763,9.0
富田別墅,桃園市新屋區新洲東路56巷17號,14.3,9,21,5.105438690810491,0.6742837368286606,9.0
龍威別墅三期,桃園市新屋區中正一街105號,16.2,19,26,0.6615862384670107,0.3897127519646811,29.0
清淞三,桃園市新屋區福洲六街60巷1號,15.3,11,22,3.7351202233038014,0.2837127663948853,4.0
現代清境,桃園市新屋區中山東路二段622巷20號,11.2,16,21,3.721732973403297,0.1400606160976293,4.0
翰林苑二期,桃園市新屋區新洲五街73號,27.1,11,21,3.973736517681884,0.3544722023989267,6.0
書香門第,桃園市新屋區中興北路97號,13.3,16,27,0.761569366469023,0.2582388691485278,28.0
中山大庭院,桃園市新屋區新文路19巷21號,15.8,9,22,2.3203376967324485,0.9277773999137112,0.0
御墅三期甲,桃園市新屋區新洲路31號,15.3,11,21,4.157756014539067,0.5472612570783347,9.0
泳達御璽,桃園市新屋區新生五街16巷12號,15.1,10,26,0.573239381862135,0.2836261840107634,28.0
