建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
莊敬御璽,桃園市桃園區莊一街118號,22.6,17,18,0.2961190816142078,0.029573098978035,319.0
雅典城堡,桃園市桃園區同德六街216號,25.6,19,16,0.3203088883567195,0.0206078278857086,401.0
永安尊邸,桃園市桃園區永安路509巷2號,27.7,23,11,1.4259641018071,0.5584213340591946,208.0
逸品別墅,桃園市桃園區復明三街9號,20.5,20,5,0.1110331460110989,0.0997958418339761,173.0
璞墅,桃園市桃園區寶山街55巷8號,24.1,18,12,0.1316346665498877,0.3756734401166441,157.0
縣府帝寶,桃園市桃園區廈門街126巷2號,32.3,15,9,0.8945000642084865,0.47739365278293,301.0
天地賞,桃園市桃園區大連二街47巷3號,21.2,24,11,0.9662480067594594,0.1625127188993623,304.0
布洛瓦城,桃園市桃園區大有路440號,23.6,18,11,0.0522562170389695,0.2314391448552539,140.0
尊賞,桃園市桃園區莊二街231巷1號,27.9,19,19,0.4643885214447885,0.2110063442021879,278.0
大有仰森,桃園市桃園區民富十三街12號,24.8,10,12,0.159486515632978,0.373240160639173,129.0
萊茵花園,桃園市桃園區民富二街118號,22.8,15,10,0.8124533723205208,0.3133332122769416,174.0
地連天,桃園市桃園區永安路1188巷1弄1號,13.6,29,16,1.7725254398839037,0.6612287245475943,17.0
鼎好別墅,桃園市桃園區龍壽街86巷45號,13.8,24,17,0.2550990975574406,0.1174628176724669,48.0
onelife,桃園市桃園區建新街285巷7號,30.1,9,6,0.6739588332550152,0.3566092694303496,97.0
康橋別墅二期,桃園市桃園區國際路一段1029號,22.8,19,10,1.9193040351800288,0.1241496874809553,160.0
阿姆斯壯,桃園市桃園區同德五街131巷5弄6號,28.9,7,15,0.3334157234712081,0.2734713863068377,432.0
閱讀翡冷翠3,桃園市桃園區南平路110巷9弄1號,21.7,13,15,0.2120687948261406,0.122817664973135,431.0
普鑼旺世,桃園市桃園區大興路568號,22.6,13,14,0.5866112933031857,0.2504770008208994,158.0
美墅館,桃園市桃園區國際路一段413巷54號,18.6,20,12,1.4801157508680736,1.2348571186278896,73.0
松語墅,桃園市桃園區寶慶路526號,25.9,18,17,0.5446461142954397,0.3186322972550732,253.0
澄園,桃園市桃園區大興西路二段190巷17弄12號,23.3,21,15,0.1596998250803736,0.238195519915501,313.0
四季別墅,桃園市桃園區南平路110巷57號,23.6,18,15,0.2642356913017577,0.1207439069130769,427.0
新家坡七期玉山官邸,桃園市桃園區南豐二街168巷25號,24.3,19,7,0.6983909036650565,0.301214054808362,127.0
福太別墅,桃園市桃園區寶慶路138巷10號,22.0,25,15,0.2234154696509352,0.2581661464264245,326.0
亞歷山大,桃園市桃園區天祥二街12號,27.3,17,11,0.3045990813627665,0.1795679688998918,365.0
文中梵登,桃園市桃園區文中路28巷17號,19.7,15,11,1.136679750619526,0.231182739546575,262.0
植村秀樹,桃園市桃園區中埔二街177巷1號,25.4,28,16,0.1707288912532722,0.1723264146458364,367.0
閱讀翡冷翠,桃園市桃園區中正路1382號,29.0,16,18,0.289948228533922,0.2391366318882553,392.0
富及帝,桃園市桃園區國強二街299巷2弄26號,15.1,26,15,1.025888339269737,0.6940094195468526,95.0
雅典城堡NO6,桃園市桃園區文中一路325號,38.6,4,13,1.6890143213829816,0.7118353308111767,132.0
百川新歐洲,桃園市桃園區民有十三街13號,29.5,17,13,0.3778197236351625,0.4137434957235584,173.0
聖彼德堡,桃園市桃園區同德三街38號,25.4,18,15,0.0947870700377261,0.3628419640481366,341.0
新家坡十六期,桃園市桃園區國際路一段22號,25.4,14,13,0.7041674091069936,0.7075414511882845,336.0
皇家金鑽,桃園市桃園區漢中路147號,22.3,16,6,0.8379040605973842,0.2469391195957149,230.0
中路大璽,桃園市桃園區正光路186巷82號,35.0,6,11,0.9944289837094676,0.3008256361290738,258.0
藝墅家第七期-藏御,桃園市桃園區復興路362巷32弄13號,22.7,11,7,0.352549337653621,0.2360479843758839,471.0
經濟學,桃園市桃園區永安路775號,38.5,4,13,1.4279764962997332,0.3711118094034702,106.0
晶璽,桃園市桃園區鎮一街90號,30.3,9,7,0.6584971047960748,0.2136256794617576,326.0
鴻運金,桃園市桃園區大業路一段375巷2弄6號,25.1,33,13,0.6205335252416565,0.390162464514028,222.0
京澄謙苑,桃園市桃園區文中一路25巷68號,34.0,3,12,1.2906018621030764,0.1439369775063157,210.0
川鉅帝寶,桃園市桃園區榮華街49巷5號,24.2,4,8,1.0291221156353558,0.7129687409269335,69.0
力天璞石,桃園市桃園區雙峰路58巷1號,22.1,12,11,0.7213016916063655,0.3948576620817682,221.0
笙園水鏡別墅,桃園市桃園區泰昌九街11號,21.5,17,10,1.6012506152805337,0.2924406602696325,167.0
傑仕堡,桃園市桃園區大業路一段252號,21.4,27,11,0.4964168109008364,0.1837311034701761,187.0
吉田秀墅,桃園市桃園區民富十三街85巷52號,30.8,18,12,0.0228845123724094,0.2568095143835143,147.0
諾貝爾,桃園市桃園區同德二街139號,21.8,34,13,0.8782772657898834,0.1419058118922531,369.0
官邸豐華 NO1,桃園市桃園區成功路二段29號,25.6,3,4,0.7655069342397728,0.072986270085567,448.0
鴻麒文中尊邸,桃園市桃園區國強十一街96巷13號,17.8,24,16,1.8061162254598304,0.4496354167110051,76.0
