建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
陽光大綠地,桃園市楊梅區三民路二段96巷5號,18.6,27,24,2.9436246367938232,0.5103368248723266,3.0
楊梅帝堡,桃園市楊梅區中山北路二段265巷32弄1號,17.7,7,19,0.455125689630641,0.2837218000220566,102.0
夢想莊園,桃園市楊梅區高鐵南路十段599巷90弄2號,17.8,7,33,3.830279345092589,0.9227693393106986,0.0
楊明逸品,桃園市楊梅區楊新北路21巷7弄6號,14.5,17,22,0.0380934448576277,0.4093866049910368,159.0
靜心園,桃園市楊梅區校前路276巷38弄1號,18.4,7,22,1.1547716384401343,0.2918132286891007,62.0
高獅薪墅,桃園市楊梅區高獅路365巷120弄1號,16.0,7,19,1.3755426133969295,0.928492139378594,7.0
夏朵花園,桃園市楊梅區福人路78巷1號,12.1,27,24,1.8925470691580968,1.2321460282432382,5.0
夢想莊園2,桃園市楊梅區高鐵南路十段599巷88弄1號,13.9,3,33,3.848086902627737,0.8915966275774521,0.0
大綠地,桃園市楊梅區中山北路一段272號,17.1,1,19,0.1577045304973624,0.2849293498344782,72.0
名城大街一期,桃園市楊梅區新農街二段81號,16.5,15,18,0.8794330367468925,0.4445467916366018,57.0
馥郁山莊,桃園市楊梅區青山一街65巷17號,14.9,17,19,0.9961398351446632,0.2438933389155348,103.0
中謹雲楊,桃園市楊梅區泰圳路640巷11弄2號,16.3,1,31,5.299933053276637,1.937133740460932,2.0
植覺,桃園市楊梅區楊湖路四段231巷122弄,13.9,2,35,2.21014537686993,1.8314120222805608,1.0
十二墅,桃園市楊梅區高平路115號,14.9,3,22,2.643475528827872,1.5517850215324576,0.0
華登御墅,桃園市楊梅區中山南路683號,17.2,12,24,2.596114880743713,1.942930158497668,22.0
16逸,桃園市楊梅區楊湖路四段336號,17.8,8,35,2.2767414563018327,1.8930689077578449,1.0
墅之寬,桃園市楊梅區上湖二路325巷20弄2號,15.5,5,32,4.269162002113136,0.6809077532175714,0.0
美麗鎮,桃園市楊梅區文化街212號,15.5,16,20,0.4181341064511296,0.1327960716444212,178.0
吉賀居,桃園市楊梅區永美路445巷29號,17.1,10,20,0.235862398278272,0.600049527753687,186.0
豪發-晴朗,桃園市楊梅區泰圳路200巷206號,21.9,3,30,5.104450054620808,1.879737217811161,3.0
琉璃莊園,桃園市楊梅區裕成南路196巷1號,22.4,6,19,0.8565732590687735,1.0551453451653423,13.0
豪門,桃園市楊梅區文化街568巷26弄44號,9.1,32,21,0.6280084767681189,0.2084450594762176,102.0
藝墅,桃園市楊梅區青山一街9號,17.0,16,18,2.323081237905612,0.4055991129125617,98.0
進寶美墅,桃園市楊梅區環南路75巷52弄40號,18.9,10,22,1.3025727132405875,0.2956262042852198,61.0
藝墅家,桃園市楊梅區民有一路105巷32號,17.2,7,31,3.34355339190483,0.9733386904348604,2.0
台北新都透天區,桃園市楊梅區裕成南路159號,19.3,26,19,0.895336498053836,0.9660968273205078,9.0
傳天地,桃園市楊梅區新農街379巷45弄1號之70,21.9,6,21,0.4398268829527801,0.2283146821303273,101.0
興硯昌盛,桃園市楊梅區永美路445巷178弄26號,20.0,8,22,0.4930148449686181,0.0861480349348324,133.0
曙光計劃,桃園市楊梅區永美路387巷153號,19.5,16,20,0.4442278236788295,0.3053107443677351,178.0
龍騰御墅,桃園市楊梅區幼獅路二段392巷33號,15.1,6,18,2.474455930964162,0.195469203668311,1.0
翰林皇居,桃園市楊梅區日新街6號,23.9,8,18,0.3575543740557099,0.3068965599986856,138.0
大亨別墅,桃園市楊梅區民安路52巷1弄76號,15.9,1,29,4.957090299507792,0.3533338316453572,1.0
大清儷陽,桃園市楊梅區環南路219巷19號,23.3,2,22,1.470361379040883,0.4590797641266472,49.0
領袖富邑,桃園市楊梅區三元街112巷28號,17.7,13,18,0.6868497317905045,0.1271645465119258,76.0
富岡 觀止,桃園市楊梅區新富六街55號,17.6,5,31,3.982751912840567,1.1768320107473775,41.0
凱旋大地,桃園市楊梅區梅高路二段51巷1號,14.9,18,21,1.6366408784922115,0.8614864686651362,10.0
一二行館,桃園市楊梅區楊湖路一段676巷550弄1號,24.4,2,26,2.274711592864936,1.2748339488592788,14.0
富都星-透天區,桃園市楊梅區信義街121巷15號,20.9,1,32,4.3944157289713,0.3484985149272887,53.0
富海,桃園市楊梅區民有路二段455巷199弄3號,13.9,8,29,2.721975139594241,1.6266104885053068,0.0
楊湖美墅,桃園市楊梅區楊湖路一段820號,19.2,1,26,2.653779535088948,1.6602813556667615,8.0
美居森至在,桃園市楊梅區金溪路31號,16.5,7,21,1.046620715212237,0.578127412789719,56.0
利旺 富貴NO.11,桃園市楊梅區楊湖路三段248巷119弄82號,13.8,4,31,5.221594794790701,1.1781370217092204,3.0
冠鼎山曦楓泉,桃園市楊梅區瑞坪路271巷60弄75號,21.9,5,22,2.4853263060255264,1.1347683356467333,6.0
傳天地2,桃園市楊梅區新農街379巷45弄1號之13,15.4,5,21,0.4398268829527801,0.2283146821303273,101.0
八方藝墅,桃園市楊梅區中山路73巷1號,22.8,1,20,0.6671290750681238,0.3369311231818048,157.0
典藏璞石,桃園市楊梅區新江路217巷2號,23.0,1,25,2.246964462358644,1.2241366314198514,9.0
日光小鎮,桃園市楊梅區青山一街65巷2弄60號,16.0,14,18,2.068078790105321,0.208609501218408,78.0
新梅一品,桃園市楊梅區新梅六街71號,22.4,3,23,0.3111354577468658,0.5492761209905811,155.0
傳天地3,桃園市楊梅區新農街379巷45弄1號之50,15.9,4,21,0.4398268829527801,0.2283146821303273,101.0
富岡皇家NO.7,桃園市楊梅區新富五街1號,18.5,7,30,4.0606450374374985,1.31571694236734,33.0
金淵尊邸,桃園市楊梅區中山北路二段265巷78號,26.9,1,20,0.5091222676027075,0.4285105617647985,111.0
逸墅家,桃園市楊梅區民安路509巷26號,15.2,1,31,5.522487896300844,1.2993924297313333,3.0
新富居,桃園市楊梅區新富七街201巷1號,17.9,4,32,3.9296018027787527,0.7882852216451883,52.0
百里歐香花園別墅,桃園市楊梅區瑞溪路二段217號,21.7,16,21,0.6103250884824483,0.3118648203906849,153.0
傳天地5,桃園市楊梅區環南路75巷52弄42號,19.8,2,22,1.3007913001414388,0.2922769295710704,62.0
谷都恆美,桃園市楊梅區楊湖路三段322巷2號,14.4,3,31,4.881433219162614,0.7644525855321135,3.0
延隆富御5,桃園市楊梅區民生街163巷22弄1號,14.7,9,32,4.000339200703913,0.6268823071753664,52.0
上品硯,桃園市楊梅區新梅七街88號,21.7,3,22,0.5914481978685026,0.3826694798840846,149.0
松濤,桃園市楊梅區貴山街33號,23.5,2,21,0.8796753648143021,0.2161724150600237,132.0
帝品苑,桃園市楊梅區梅獅路二段179巷9號,24.1,3,20,0.6477560777510125,0.289303102242756,105.0
皇品天下,桃園市楊梅區高鐵南路七段501號,18.5,2,23,3.3767270826368208,0.878254584531495,8.0
紳活逸墅,桃園市楊梅區新農街427號,23.1,17,20,0.4207839860645155,0.1765846350068462,49.0
富比仕,桃園市楊梅區中山北路二段56巷16號,17.7,6,17,0.9192730383728752,0.2600836347204859,76.0
學府逸墅,桃園市楊梅區校前路7巷32號,22.0,4,22,1.0356597921353738,0.1035612119314091,134.0
日光郡,桃園市楊梅區瑞坪路79巷21號,17.8,4,21,1.0895616512582649,0.5410443466501181,52.0
星馥岡,桃園市楊梅區豐興街109號,17.3,2,32,4.24458564582818,0.5288901538626669,52.0
涵露NO.5,桃園市楊梅區校前路256巷9號,22.3,2,22,1.1018875677434807,0.2638575418419921,72.0
御墅五期,桃園市楊梅區楊湖路四段208巷10號,15.8,8,34,2.683366086313131,1.609402834771025,0.0
印象,桃園市楊梅區民有路二段505號,15.6,3,29,2.803998426575011,1.4994952658502236,0.0
真善美三區,桃園市楊梅區益新三街2號,17.4,18,20,0.3065999920561776,0.3093245572827207,166.0
牛津CEO NO.3,桃園市楊梅區萬大路185號,18.2,6,22,0.4565938124696214,0.1131218550581234,112.0
熊阪富邑,桃園市楊梅區員本路525巷10號,15.6,2,27,3.4587185268603045,1.3926987699899205,0.0
揚名學園,桃園市楊梅區新農街318巷1弄22號,15.9,21,20,0.2248756769786046,0.084347378940003,62.0
原然庭園,桃園市楊梅區裕榮路120巷24號,12.0,25,20,4.029829707412657,1.0386987917505752,42.0
日安法朵,桃園市楊梅區楊湖路四段554巷3弄102號,13.8,1,37,1.7374941394553771,1.329082454244393,1.0
和迪八悅,桃園市楊梅區楊湖路四段231巷181號,16.8,5,35,2.21014537686993,1.8314120222805608,1.0
龍築石村墅NO2,桃園市楊梅區富豐三路一段30號,17.9,1,31,5.522861326449936,1.22798689841075,3.0
嘉新市懷石庭區,桃園市楊梅區益新三街11巷35號,14.2,26,20,0.3801830606886866,0.2541902896372014,177.0
福田御,桃園市楊梅區秀才路241巷64號,19.8,1,24,1.6976872985772036,0.7645082444076776,22.0
伍霖豪郡,桃園市楊梅區新農街二段121巷1號,13.6,12,18,0.7781250696662747,0.3592593027273769,63.0
建家苑,桃園市楊梅區楊新北路21巷1弄100號,19.3,3,21,0.2082918002572305,0.4126865359831295,165.0
豪室登堡,桃園市楊梅區新明街797巷16弄1號,16.5,4,36,3.6999857093832538,1.7421758529764353,1.0
涵露NO.3,桃園市楊梅區環南路141巷11弄8號,18.2,6,22,1.3858917345338329,0.3388658647193376,58.0
青山秀墅,桃園市楊梅區青山一街65巷6弄52號,14.7,14,18,0.9868676424457904,0.1753342234144707,88.0
典藏逸墅,桃園市楊梅區民有路二段592號,14.5,7,29,2.936156206975087,1.2461640875965467,0.0
陶莊,桃園市楊梅區民生街505巷10弄1號,6.9,28,31,3.2478201927442987,1.2671524789043636,19.0
富御,桃園市楊梅區員本路25號,11.9,12,29,4.126059487861442,1.363903799263953,27.0
高榮極景,桃園市楊梅區高榮路127巷3號,22.2,2,17,3.179355394460593,0.9788345358439998,1.0
聯太仟院,桃園市楊梅區校前路276巷40弄1號,21.3,2,22,1.160935776862537,0.2576111339125736,71.0
宜沅一品苑,桃園市楊梅區民族路五段201巷84弄1號,21.8,3,19,3.202000296322684,0.5241627074296389,41.0
楓泉映月,桃園市楊梅區瑞坪路271巷60弄66號,21.5,5,22,2.4853263060255264,1.1347683356467333,6.0
延隆富御3,桃園市楊梅區校前路318巷30號,18.5,9,23,1.2720625511813113,0.4851114161480287,23.0
幸福筆記A區,桃園市楊梅區新明街642巷82弄7號,10.2,13,36,3.639510226222549,1.7796374163666229,3.0
旺旺家族,桃園市楊梅區新江路46巷20號,12.0,9,24,1.840395050529495,0.9067652706637276,10.0
金名東方,桃園市楊梅區民族路五段107巷50弄6號,21.3,3,19,2.845956734566989,0.4513320773095511,28.0
川洋首璽,桃園市楊梅區環南路141巷11弄60號,17.2,8,22,1.375037703660201,0.3311288821744667,59.0
大立都悅城,桃園市楊梅區新梅三街40號,24.5,1,22,0.7211533649428217,0.5627787160176944,110.0
弘威望族,桃園市楊梅區環南路75巷52弄1號,13.0,10,22,1.2911226661188384,0.3083441574197019,52.0
楊梅峇里島,桃園市楊梅區裕榮路321巷1號,13.0,18,21,4.270966763159178,1.28022455155834,39.0
新點意境,桃園市楊梅區新梅九街66巷2號,16.2,15,23,0.6619591676567342,0.5143579899248252,138.0
米堤花園,桃園市楊梅區民族路五段201巷136弄13號,16.5,22,20,3.3415648216137765,0.6394740391900421,42.0
富海5,桃園市楊梅區高鐵南路七段178巷66號,16.9,2,23,3.402146406516698,1.2827674838614014,4.0
十六逸,桃園市楊梅區楊湖路四段356號,20.4,8,35,2.2407977919400244,1.8580185273314105,1.0
香榭大庭苑,桃園市楊梅區楊新路三段87巷18弄2號,10.4,18,27,3.4732760776448206,0.282343114863928,9.0
陽光經典,桃園市楊梅區三民路57號,22.4,7,18,0.9496080630134288,0.2152461848688739,68.0
歌斐木,桃園市楊梅區仁美路26號,23.2,5,17,3.232741787735613,0.4005284290610374,95.0
采園勳章,桃園市楊梅區自立街321巷2號,16.8,7,20,0.3736553174079468,0.2577300921677513,163.0
陽明之星,桃園市楊梅區楊新北路188巷16號,15.7,18,21,0.4780316848569737,0.2428624680462323,168.0
金永信雙橡園,桃園市楊梅區元化街85巷12號,17.0,9,17,1.0089144353250927,0.3232665033016476,53.0
摩墅B棟,桃園市楊梅區金溪路175巷7號,12.5,16,20,1.6281775426485094,0.5461854767715366,45.0
富至尊邸,桃園市楊梅區新富三街82號,20.3,3,30,4.168655541493776,1.2111412942473323,40.0
台北比佛利西雅圖區,桃園市楊梅區青山六街22號,12.3,28,17,1.5139579187359664,0.5500883995352982,26.0
大學湖畔,桃園市楊梅區富民街143巷23弄21號,13.1,7,34,3.296642972495412,2.06448884645702,0.0
名城大街三期,桃園市楊梅區新農街二段59號,15.1,15,18,0.9276969391289704,0.4882019536736229,54.0
富貴園,桃園市楊梅區楊湖路三段319巷101號,6.3,27,31,5.001652106557321,0.8768975483069684,3.0
櫻花墅,桃園市楊梅區新榮路57巷50號之2,16.8,9,20,4.067682308150525,1.0579689659277371,41.0
大衛營,桃園市楊梅區楊湖路一段773巷46弄10號,13.9,18,27,2.549818226352922,1.6593355625510822,19.0
楓丹美墅一區,桃園市楊梅區雙榮路56巷11號,13.1,17,18,2.70325412703338,0.1958009628854999,21.0
四季尊邸,桃園市楊梅區民族路五段147巷59號,18.1,7,19,3.0504542174113443,0.5833632834389982,35.0
翰林傳家,桃園市楊梅區校前路276巷21號,20.5,10,22,1.147750999663686,0.3033977782121347,62.0
佳龍傳城,桃園市楊梅區環南路75巷52弄35號,20.4,6,22,1.3100036958054142,0.3046085090113635,59.0
馨望,桃園市楊梅區環南路141巷11弄32號,21.7,2,22,1.3470661402736013,0.288676009940382,63.0
秀才湖畔,桃園市楊梅區秀才路487號,15.3,17,25,2.2178516725057045,1.2859533759192987,10.0
名城大街六期,桃園市楊梅區新農街二段40號,16.4,15,18,0.9803737506604076,0.5182984326949135,56.0
華中富邑,桃園市楊梅區裕榮路327巷1號,13.7,18,22,4.259253966740159,1.560892177356333,32.0
富甲十方,桃園市楊梅區新富三街152號,12.6,15,30,4.134486097150674,1.102406572183634,52.0
法蘭朶五期,桃園市楊梅區秀才路921巷5弄3號,20.2,5,26,3.6421310536313287,0.2572769249388488,6.0
秀才金鑽,桃園市楊梅區秀才路90號,20.7,7,22,1.1032345816904123,0.2159730960569506,121.0
優勝美地,桃園市楊梅區富祥街200巷22弄42號,14.3,17,36,3.0682596602704035,2.331955024133534,12.0
典藏六福,桃園市楊梅區裕榮路230號,13.9,18,21,4.264264762711856,1.2734304550543658,39.0
秀才湖畔C棟,桃園市楊梅區秀才路499巷19號,16.1,17,25,2.246817591265177,1.313961361579673,10.0
秀才湖畔(DE),桃園市楊梅區秀才路505號,15.3,17,25,2.267424862781102,1.325938472738876,10.0
