建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
綠見築,桃園市蘆竹區龍壽街一段213號之3,20.8,8,18,1.6924798939403976,0.6855155865599386,10.0
春城,桃園市蘆竹區新生路201巷51號,21.0,16,26,5.915492608569062,0.2205507638695913,26.0
歐楓大郡三期,桃園市蘆竹區歐楓街2號,20.6,15,28,1.126522654775193,0.7442108085553139,52.0
大清盛世,桃園市蘆竹區南竹路二段315巷30弄2號,22.6,15,23,3.272526100885115,1.3548624617418308,15.0
三本領仕館,桃園市蘆竹區六福路286號,18.5,17,27,1.1557081161180038,0.7831093301203693,48.0
大竹新站,桃園市蘆竹區新生路246巷39號,19.8,19,26,5.973443089329149,0.1895317243002329,24.0
長展青境,桃園市蘆竹區中興路585巷166號,18.4,8,23,3.4128868893737883,1.1424168691601402,15.0
歐風尊爵,桃園市蘆竹區大興路353號,20.3,15,21,4.20103547436296,0.7919718151658155,82.0
悅山莊,桃園市蘆竹區羊稠街17號,25.0,9,23,0.1612543882234988,0.1639332618919643,87.0
圓明園,桃園市蘆竹區南竹路二段329號,19.4,14,21,3.469188269837764,1.4336026433138829,14.0
溫莎堡,桃園市蘆竹區興福街1巷19號,17.2,25,23,4.778859210329561,0.3225361926211529,102.0
長榮富貴,桃園市蘆竹區中山路48巷1號,16.8,27,24,0.1882263696462311,0.1401444681365582,103.0
翰林苑,桃園市蘆竹區文新街346巷246弄9號,23.2,6,19,2.7124292945164687,1.099537866625916,8.0
雲想-透天區,桃園市蘆竹區長興路一段40號,26.9,5,25,1.1370705877044252,0.7283076629053343,64.0
環亞大地,桃園市蘆竹區中興路32號,18.9,26,18,0.3031806263625665,0.5047420832233245,78.0
大竹晶鑽,桃園市蘆竹區龍安街二段1639巷26弄28號,21.5,11,23,4.95454046663481,0.8807928836510751,50.0
友禪6,桃園市蘆竹區上興路77巷61弄27號,23.9,10,20,0.1261709767912471,0.685562636514825,89.0
億邦美墅家,桃園市蘆竹區大新路610巷36號,19.3,5,26,5.73795550065293,0.2628262657563495,29.0
市外桃源,桃園市蘆竹區富國路二段755巷110號,19.2,5,25,4.409107452384865,0.3844032233345951,0.0
德友臻美,桃園市蘆竹區祥賀街32號,24.5,10,22,4.497945078070827,0.4629845589360946,85.0
蘭亭序,桃園市蘆竹區南順一街58號,27.0,18,23,1.8193315563604195,0.4089220064899141,163.0
竣鵬翰林苑,桃園市蘆竹區宏林街316號,23.3,2,25,3.942546294182357,1.1083649654110792,1.0
香草花園,桃園市蘆竹區新福街20巷12號,18.2,18,23,5.36225091659457,0.5369069676460464,76.0
京華逸墅,桃園市蘆竹區光明路二段258號,24.6,20,23,1.1519061521494507,0.2800258373566611,198.0
普羅旺斯,桃園市蘆竹區上竹二街26號,25.4,8,19,0.1791714834777656,0.7919744944551009,82.0
長榮富豪別墅,桃園市蘆竹區六福路298號,14.5,24,27,1.215098932909786,0.8240913844398539,50.0
椿山莊,桃園市蘆竹區富昌街200巷76號,15.0,16,25,4.235287382309454,0.3689264086370649,0.0
開南逸墅,桃園市蘆竹區新興街379巷25弄10號,18.7,4,21,3.2262031463849614,0.2216587746637129,22.0
向日葵,桃園市蘆竹區富國路一段155號,25.9,23,19,3.3862277409145176,1.7431080503636078,5.0
日勝新天地No.3,桃園市蘆竹區龍安街三段31巷7號,22.5,5,24,5.07235638854756,0.8591893147418749,52.0
臻璽,桃園市蘆竹區聯福街30號,27.9,8,25,1.3032663488211782,0.4108520877158726,157.0
城市花園,桃園市蘆竹區奉化路122號,23.8,17,22,1.8457267240929824,0.2753030785939777,143.0
太禾雙星,桃園市蘆竹區上興路135號,29.6,8,20,0.266643420662751,0.5997834999195258,100.0
富田,桃園市蘆竹區上興路187巷35號,27.8,8,21,4.444251336152991,0.5861233431149186,101.0
夏軒,桃園市蘆竹區興仁路13號,41.1,2,21,4.604686748004179,0.3362859532980363,102.0
哲園,桃園市蘆竹區海山路76巷36號,14.5,10,33,4.799538303753841,0.2941883442651459,24.0
福砌,桃園市蘆竹區龍安街二段1680巷60號,19.8,11,23,4.9939530501753735,0.7375873345044373,73.0
英崴御硯5,桃園市蘆竹區大興七街18巷36號,27.0,7,21,4.274712765509714,0.7179008858556141,93.0
石濤園,桃園市蘆竹區祥賀街20號,15.0,30,21,4.423391076450246,0.5007975974026178,85.0
弘昌富澤,桃園市蘆竹區南順二街26號,33.2,4,23,1.8753614638043496,0.4362123183455172,146.0
後現代,桃園市蘆竹區南順六街1巷69號,23.0,17,22,1.9067026376707457,0.3244352873736958,123.0
大硯人文行館西區,桃園市蘆竹區大興十四街83號,22.0,17,24,5.270278204178247,0.3953186906937981,78.0
福康家園,桃園市蘆竹區五福六路82號,23.2,33,24,0.5920673924749964,0.2370754281847993,158.0
