建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
大觀紐約,桃園市觀音區莊敬路365號,23.2,3,33,3.2035406445555683,0.4309659696115774,35.0
喜多美墅,桃園市觀音區中觀路一段67號,22.6,3,24,5.461203370737483,0.9870297026705376,5.0
大清粹美,桃園市觀音區三座路209巷8弄11號,15.9,1,28,5.0183778682959055,1.3179312958540876,1.0
傳家寶十六期,桃園市觀音區公園二街105號,15.4,11,26,4.0837953246226295,0.8850619014798564,7.0
中央公園,桃園市觀音區公園二街2號,13.8,15,26,3.904101773519321,0.922611791039682,4.0
豐禾居NO.2,桃園市觀音區中山路一段1132巷259號,16.1,1,31,6.1898202293204845,1.4540187897849777,1.0
摩登新尊邸,桃園市觀音區六合街45號,21.0,8,32,3.3592098235233947,0.3901608260791865,36.0
大觀金鑽,桃園市觀音區莊敬路507號,22.3,8,33,2.9315367804150787,0.4638982880016071,34.0
紐約幸運星-透天區,桃園市觀音區中山路一段739巷5號,16.4,3,32,7.260912612856261,1.788155197197216,1.0
觀景苑777,桃園市觀音區武威二路245巷11號,15.1,2,29,10.10341721862205,1.4406416470886814,3.0
新點樂章5,桃園市觀音區富春路420巷2號,14.4,6,34,4.972245451260196,0.2135040585583647,1.0
大觀金鑽第三期,桃園市觀音區二聖路217號,21.7,6,31,3.4445606153853467,0.6392828547588423,26.0
囍市,桃園市觀音區福德街55號,18.7,3,33,3.1354373768109505,0.3325298670088484,35.0
荷豐大墅3期,桃園市觀音區福坪路552巷158弄8號,11.6,5,27,5.623340543050211,1.30860664462755,2.0
科學市,桃園市觀音區文化路坑尾段376巷9弄8號,13.0,15,28,5.622009109814753,1.1743865289311872,0.0
和創大合,桃園市觀音區上大五路519號,24.4,1,24,4.804172485408387,1.546252830290365,0.0
禾耘一品墅,桃園市觀音區大觀路一段85巷136弄1號,19.6,5,32,1.2349357751333143,1.4220771600182585,4.0
湖水硯,桃園市觀音區富源二路351巷1號,21.7,3,24,4.165378572835825,0.7499655551751921,3.0
新坡棧,桃園市觀音區文林路265巷51弄2號,15.3,6,30,5.536864288315045,0.7519676005410183,3.0
全新墅,桃園市觀音區福昌街217號,22.1,1,34,3.1773143263264174,0.5308561219060716,34.0
鴻寶,桃園市觀音區中山路一段163號,12.1,6,33,7.424074420308301,1.604395310394266,1.0
新金鑽,桃園市觀音區福祥街18號,30.1,1,34,3.1972434804117054,0.4940106988105534,35.0
