建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
墅院子,桃園市龍潭區文化路717巷1號,19.1,2,29,1.5813453641384625,1.2579344240782735,4.0
戀戀櫻墅,桃園市龍潭區干城路179巷25弄1號,21.4,16,26,0.5552838194256862,1.0170795625017568,78.0
希望四季,桃園市龍潭區渴望路243巷1號,17.7,17,30,4.907851420818999,1.081810846025648,13.0
托斯卡尼III,桃園市龍潭區渴望路653號,25.9,5,33,4.861177062191609,0.1232798453631396,7.0
豐禾墅,桃園市龍潭區健行路540巷1號,18.6,3,24,0.7128621087972589,0.2989770800390699,25.0
紅瓦厝,桃園市龍潭區中原路一段56巷11弄1號,8.3,27,28,2.5464870997911424,0.3155977750133482,6.0
晴苑,桃園市龍潭區福源路89巷20弄32號,26.1,7,28,5.800927945542303,0.511290093544118,14.0
達和森之丘-溫哥華莊園,桃園市龍潭區梅龍路515巷2號,19.8,4,28,1.821610859334488,0.0611905889221286,6.0
里山行館/樹裏院,桃園市龍潭區民治五街110巷10號,17.6,7,34,1.7341308663881312,1.449638260647212,13.0
天喜別墅,桃園市龍潭區龍平路1175巷24號,15.8,18,19,0.9632494003917808,1.0573247183618368,3.0
米蘭小鎮,桃園市龍潭區中豐路上林段231巷70弄24號,10.3,15,26,0.980870846066794,0.4465361354728691,44.0
新比佛利,桃園市龍潭區渴望一路170巷28號,17.7,15,31,5.042634910323889,0.3418769082949167,4.0
月光の樺樺-透天區,桃園市龍潭區龍平路820巷8號,19.5,3,19,0.8800440159534485,0.6535192850727068,2.0
長椿渼墅,桃園市龍潭區渴望一路60巷1號,9.9,17,31,5.0413356179401365,0.6463989781618311,7.0
大院舞,桃園市龍潭區渴望路475號,30.6,1,31,4.881459860828735,0.6143696151878784,7.0
台大山莊二期,桃園市龍潭區民治十街16巷23號,14.3,22,33,2.0075336066891767,1.4318280192138086,11.0
櫻花山莊,桃園市龍潭區梅龍三街116巷241弄2號,9.5,27,30,2.0895595662818773,1.6928669632749718,6.0
海德莊園,桃園市龍潭區大順路425巷2號,25.3,11,27,3.2283551949131795,0.9416043819555934,17.0
渴望園區一品莊園,桃園市龍潭區渴望一路158巷55弄1號,16.8,4,32,4.880653508796433,0.2012030381775149,6.0
誠泰大院,桃園市龍潭區渴望一路123巷1號,22.9,7,32,5.080480279179915,0.5058956098000165,7.0
歐鄉庭園,桃園市龍潭區健行路559巷6弄2號,8.6,29,24,0.7786308338956613,0.3229364775404216,25.0
紅花綠墅,桃園市龍潭區富華街三林段176巷76弄14號,7.7,27,28,1.6252871227306658,0.9731777156335236,13.0
層峰villa,桃園市龍潭區渴望路686巷1號,24.3,14,33,4.940248699176051,0.1033733089888063,7.0
湖適別墅,桃園市龍潭區民治一街27巷2號,11.4,18,34,1.5694786477028768,1.2629156562040285,11.0
台北星墅海,桃園市龍潭區中豐路高平段123巷122號,13.1,27,29,3.8744247295673326,0.9957785537884432,8.0
岩仁美墅,桃園市龍潭區民治七街48號,15.3,5,34,1.742826058292739,1.4989861314377513,13.0
美麗國,桃園市龍潭區民治一街19號,14.8,24,34,1.538534301691676,1.262149897960724,9.0
峰泰樂透天,桃園市龍潭區成功路584巷11弄17號,22.5,2,19,0.8933557050162875,0.6053021680604764,3.0
大院山,桃園市龍潭區渴望一路261巷23號,26.6,4,33,5.215314024521559,0.3832858023538658,5.0
優境,桃園市龍潭區民治十八街126巷23號,14.0,16,36,2.3318698700236333,1.8421133200135904,16.0
盧卡小鎮2,桃園市龍潭區渴望一路66巷1號,21.4,2,31,5.045554414738974,0.6396855621445856,7.0
法蘭朵,桃園市龍潭區渴望路127巷5號,19.9,11,30,4.987329536923487,0.7315196031343463,14.0
香榭四季,桃園市龍潭區干城路181巷2弄6號,22.5,10,26,0.4882780251324859,0.9434404650810652,81.0
西班牙高第,桃園市龍潭區龍華路347巷31弄18號,18.1,15,25,0.9113397223105038,0.3150040355717381,110.0
全久 石門新宿,桃園市龍潭區民治三街56巷1號,15.6,4,34,1.697957981940193,1.3556400449781505,11.0
