建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
大睦澄觀,桃園市龜山區楓樹路87號,16.8,19,12,1.3872869597663209,0.3745987340543112,51.0
美麗法國,桃園市龜山區文化三路620巷80弄83號,20.8,19,30,1.4211890766829054,0.4434809868734302,77.0
上宏囍苑,桃園市龜山區新興街180號,29.1,2,18,1.872350592574774,0.5276245242609618,34.0
立虹敦皇三期楓樹,桃園市龜山區楓樹三街85巷9號,23.4,8,12,1.3703320900662126,0.3351813782909006,50.0
世紀莊園,桃園市龜山區興華三街31巷36號,26.5,17,21,0.9845846033034572,0.1896455517032238,295.0
台北巴洛克,桃園市龜山區文東五街30巷28號,25.4,15,20,1.4478032493507345,0.3834059957097038,80.0
名人御墅,桃園市龜山區萬壽路二段46巷37號,21.0,6,15,2.6412678374472707,0.168102863036367,12.0
勝淮采居,桃園市龜山區光榮路120號,25.3,8,12,1.646564446930913,0.4313820132777752,27.0
美樹館,桃園市龜山區文化東路89號,29.1,18,21,1.3419360264368851,0.2364300125088803,102.0
柏克萊,桃園市龜山區明興街221巷36弄11號,12.4,20,9,1.4453878050259112,0.6081339942335698,33.0
楓之墅,桃園市龜山區光明街2巷2號,21.4,16,12,1.4901982084238274,0.2148689470575198,37.0
璞墅,桃園市龜山區下湖街246巷66弄2號,15.9,7,19,2.4052872236527483,1.5841848916539223,6.0
青庭院一區,桃園市龜山區光明街318號,16.0,18,13,1.863605482555471,0.638731484459636,18.0
楓樹臻邸,桃園市龜山區楓樹路137號,23.9,5,11,1.2925020461263614,0.4227346851048591,53.0
米蘭春天,桃園市龜山區復興南路51巷12號,31.7,16,28,0.810705942887084,0.1977304147650939,326.0
陽光透天Q,桃園市龜山區楓樹六街27巷1號,18.3,18,11,1.2140009531185243,0.2828251400087351,53.0
青庭院二區,桃園市龜山區光明街332號,12.6,17,13,1.8417172734449347,0.6300522535480535,20.0
瑞士花園F區,桃園市龜山區復興北路20號,54.7,16,28,0.1696443636765618,0.3301868302928875,359.0
和風別墅,桃園市龜山區光明街248巷65弄2號,14.1,24,13,1.874371172999844,0.6151028450980245,18.0
璞園別墅,桃園市龜山區楓樹二街9巷1號,21.6,15,12,1.397533598535411,0.2735590178551152,48.0
香榭藝墅,桃園市龜山區文東一街2號,27.6,15,22,1.0697177937955151,0.2613243249601566,268.0
陽光美地R,桃園市龜山區楓樹一街87巷1號,15.9,17,12,1.394737263428914,0.1922348123253398,48.0
玈燊堡二期,桃園市龜山區文東五街16號,21.5,15,20,1.416169256449004,0.342836865510192,83.0
桃園巨蛋透天,桃園市龜山區長壽路501號,17.3,24,8,0.4712924318954367,0.331612278530648,161.0
玈燊堡,桃園市龜山區興華一街355號,27.1,16,22,0.3017475113542838,0.479465337985365,362.0
耀捷禾苑,桃園市龜山區楓樹五街137號,23.5,9,12,1.3706861291423176,0.4363773767436503,51.0
青庭院三區,桃園市龜山區光明街285號,16.9,17,13,1.85101413790148,0.6207453105861411,18.0
綠之墅,桃園市龜山區文東五街57巷6弄2號,25.1,16,20,1.2615511978610288,0.1692248889319593,133.0
陽光美地大P,桃園市龜山區楓樹一街70巷1號,17.1,18,12,1.4895201268615172,0.2684963548552879,42.0
陽光四季O,桃園市龜山區楓樹五街28巷17號,23.2,18,12,1.3149991328907151,0.3137342287078876,51.0
櫻花賞,桃園市龜山區文化五路51號,36.2,17,22,0.4156983613278983,0.4076780285553492,300.0
陽光四季小M,桃園市龜山區楓樹六街37巷1號,18.6,18,11,1.2932153440612744,0.4070052432867712,53.0
陽光四季大L,桃園市龜山區楓樹五街168巷2號,18.5,18,12,1.3448914764268902,0.3773735798774416,51.0
星苑,桃園市龜山區楓樹路75號,19.2,16,12,1.426964129796257,0.3605683391750896,48.0
和風賞,桃園市龜山區新興一街1巷1號,22.3,16,18,1.8752434346162428,0.5128110981875303,32.0
松禾園,桃園市龜山區興華三街28巷65號,31.3,8,21,1.1783181301711394,0.301063802227226,177.0
立虹敦皇三期豐榮,桃園市龜山區豐榮街28號,24.4,8,12,1.4857374365952027,0.3878929198813445,45.0
陽光四季大M,桃園市龜山區楓樹五街5巷7號,19.7,18,12,1.2898279290797627,0.3238985935539698,53.0
自強東都,桃園市龜山區自強東路196巷1弄9號,20.1,26,11,0.6963378189342324,0.1164596505587207,101.0
春天花墅,桃園市龜山區長壽路383號,19.1,17,10,0.2926583611421032,0.2181438754786101,157.0
